fecha,anomalía,ranking
2024-10-01,84.96,488
2024-09-01,80.8,171
2024-08-01,84.53,460
2024-07-01,85.37,505
2024-06-01,82.07,269
2024-05-01,84.14,438
2024-04-01,79.72,108
2024-03-01,85.96,523
2024-02-01,79.66,102
2024-01-01,85.38,506
2023-12-01,84.35,451
2023-11-01,81.22,209
2023-10-01,85.59,512
2023-09-01,82.31,292
2023-08-01,84.45,457
2023-07-01,85.02,494
2023-06-01,82.05,268
2023-05-01,82.26,287
2023-04-01,75.45,21
2023-03-01,81.06,196
2023-02-01,73.35,5
2023-01-01,80.84,177
2022-12-01,81.77,243
2022-11-01,77.61,49
2022-10-01,81.55,227
2022-09-01,81.25,211
2022-08-01,82.28,289
2022-07-01,84.81,482
2022-06-01,79.61,100
2022-05-01,82.32,294
2022-04-01,77.22,40
2022-03-01,83.64,395
2022-02-01,73.47,6
2022-01-01,83.34,371
2021-12-01,81.97,262
2021-11-01,77.28,44
2021-10-01,83.04,350
2021-09-01,80.47,151
2021-08-01,81.8,246
2021-07-01,84.74,475
2021-06-01,79.36,92
2021-05-01,83.42,383
2021-04-01,76.14,28
2021-03-01,81.61,231
2021-02-01,73.68,7
2021-01-01,82.03,267
2020-12-01,79.66,102
2020-11-01,79.45,94
2020-10-01,82.91,335
2020-09-01,80.54,155
2020-08-01,83.36,373
2020-07-01,83.67,398
2020-06-01,80.7,164
2020-05-01,83.85,411
2020-04-01,78.27,58
2020-03-01,84.22,444
2020-02-01,79.73,109
2020-01-01,83.96,422
2019-12-01,83.71,401
2019-11-01,79.82,114
2019-10-01,80.6,157
2019-09-01,80.81,173
2019-08-01,83.86,412
2019-07-01,82.45,308
2019-06-01,82.57,314
2019-05-01,80.77,169
2019-04-01,80.33,145
2019-03-01,82.86,331
2019-02-01,76.61,33
2019-01-01,84.24,445
2018-12-01,85.06,496
2018-11-01,79.65,101
2018-10-01,82.24,286
2018-09-01,79.68,105
2018-08-01,83.03,349
2018-07-01,84.03,427
2018-06-01,79.82,114
2018-05-01,79.31,90
2018-04-01,77.24,42
2018-03-01,83.93,419
2018-02-01,75.87,24
2018-01-01,82.33,295
2017-12-01,84.19,443
2017-11-01,80.06,131
2017-10-01,84.56,463
2017-09-01,81.12,204
2017-08-01,83.75,403
2017-07-01,84.61,470
2017-06-01,81.06,196
2017-05-01,83.37,377
2017-04-01,80.0,129
2017-03-01,83.59,392
2017-02-01,75.09,16
2017-01-01,84.16,440
2016-12-01,83.19,360
2016-11-01,82.44,305
2016-10-01,82.94,338
2016-09-01,79.99,128
2016-08-01,85.88,521
2016-07-01,84.27,446
2016-06-01,81.44,221
2016-05-01,83.18,358
2016-04-01,80.83,175
2016-03-01,84.83,483
2016-02-01,81.77,243
2016-01-01,88.01,550
2015-12-01,85.12,500
2015-11-01,81.84,248
2015-10-01,83.81,409
2015-09-01,82.17,278
2015-08-01,86.53,539
2015-07-01,84.87,484
2015-06-01,82.32,294
2015-05-01,82.36,302
2015-04-01,77.09,39
