fecha,anomalía,ranking
2024-10-01,1.32,542
2024-09-01,1.25,537
2024-08-01,1.27,539
2024-07-01,1.22,535
2024-06-01,1.23,536
2024-05-01,1.18,530
2024-04-01,1.29,540
2024-03-01,1.34,545
2024-02-01,1.42,549
2024-01-01,1.3,541
2023-12-01,1.38,547
2023-11-01,1.42,549
2023-10-01,1.37,546
2023-09-01,1.43,550
2023-08-01,1.26,538
2023-07-01,1.19,531
2023-06-01,1.08,520
2023-05-01,0.97,504
2023-04-01,0.99,508
2023-03-01,1.22,535
2023-02-01,1.02,513
2023-01-01,0.89,469
2022-12-01,0.82,435
2022-11-01,0.75,407
2022-10-01,0.96,503
2022-09-01,0.88,465
2022-08-01,0.92,489
2022-07-01,0.9,476
2022-06-01,0.92,489
2022-05-01,0.83,442
2022-04-01,0.88,465
2022-03-01,1.06,518
2022-02-01,0.9,476
2022-01-01,0.92,489
2021-12-01,0.89,469
2021-11-01,0.93,493
2021-10-01,0.99,508
2021-09-01,0.93,493
2021-08-01,0.88,465
2021-07-01,0.91,482
2021-06-01,0.84,449
2021-05-01,0.81,431
2021-04-01,0.8,429
2021-03-01,0.88,465
2021-02-01,0.65,343
2021-01-01,0.83,442
2020-12-01,0.82,435
2020-11-01,1.06,518
2020-10-01,0.9,476
2020-09-01,1.0,510
2020-08-01,0.9,476
2020-07-01,0.91,482
2020-06-01,0.93,493
2020-05-01,0.99,508
2020-04-01,1.13,525
2020-03-01,1.14,528
2020-02-01,1.21,533
2020-01-01,1.16,529
2019-12-01,1.12,524
2019-11-01,0.98,505
2019-10-01,1.02,513
2019-09-01,0.95,499
2019-08-01,0.94,497
2019-07-01,0.92,489
2019-06-01,0.92,489
2019-05-01,0.91,482
2019-04-01,1.04,515
2019-03-01,1.14,528
2019-02-01,0.91,482
2019-01-01,0.92,489
2018-12-01,0.94,497
2018-11-01,0.85,452
2018-10-01,1.02,513
2018-09-01,0.83,442
2018-08-01,0.82,435
2018-07-01,0.84,449
2018-06-01,0.8,429
2018-05-01,0.84,449
2018-04-01,0.9,476
2018-03-01,0.87,457
2018-02-01,0.89,469
2018-01-01,0.84,449
2017-12-01,0.96,503
2017-11-01,0.89,469
2017-10-01,0.91,482
2017-09-01,0.87,457
2017-08-01,0.88,465
2017-07-01,0.86,453
2017-06-01,0.77,416
2017-05-01,0.91,482
2017-04-01,0.95,499
2017-03-01,1.11,522
2017-02-01,1.1,521
2017-01-01,1.04,515
2016-12-01,0.9,476
2016-11-01,0.93,493
2016-10-01,0.87,457
2016-09-01,0.96,503
2016-08-01,1.0,510
2016-07-01,0.88,465
2016-06-01,0.85,452
2016-05-01,0.96,503
2016-04-01,1.14,528
2016-03-01,1.33,543
2016-02-01,1.34,545
2016-01-01,1.2,532
2015-12-01,1.12,524
2015-11-01,1.05,516
2015-10-01,1.07,519
2015-09-01,0.94,497
2015-08-01,0.84,449
2015-07-01,0.79,425
2015-06-01,0.87,457
2015-05-01,0.83,442
2015-04-01,0.82,435
2015-03-01,0.94,497
2015-02-01,0.88,465
2015-01-01,0.84,449
2014-12-01,0.8,429
2014-11-01,0.67,356
2014-10-01,0.79,425
2014-09-01,0.85,452
2014-08-01,0.83,442
2014-07-01,0.65,343
2014-06-01,0.72,393
2014-05-01,0.83,442
2014-04-01,0.79,425
2014-03-01,0.8,429
2014-02-01,0.58,297
2014-01-01,0.75,407
2013-12-01,0.71,389
2013-11-01,0.79,425
2013-10-01,0.68,363
2013-09-01,0.76,413
2013-08-01,0.69,372
2013-07-01,0.62,324
2013-06-01,0.71,389
2013-05-01,0.66,348
2013-04-01,0.6,312
2013-03-01,0.65,343
2013-02-01,0.6,312
2013-01-01,0.68,363
2012-12-01,0.53,259
2012-11-01,0.75,407
2012-10-01,0.78,421
2012-09-01,0.75,407
2012-08-01,0.67,356
2012-07-01,0.64,335
2012-06-01,0.7,379
2012-05-01,0.75,407
2012-04-01,0.72,393
2012-03-01,0.54,266
2012-02-01,0.52,252
2012-01-01,0.51,245
2011-12-01,0.59,303
2011-11-01,0.55,273
2011-10-01,0.66,348
2011-09-01,0.62,324
2011-08-01,0.7,379
2011-07-01,0.7,379
2011-06-01,0.62,324
2011-05-01,0.56,284
2011-04-01,0.67,356
2011-03-01,0.65,343
2011-02-01,0.52,252
2011-01-01,0.55,273
2010-12-01,0.51,245
2010-11-01,0.78,421
2010-10-01,0.69,372
2010-09-01,0.66,348
2010-08-01,0.66,348
2010-07-01,0.68,363
2010-06-01,0.71,389
2010-05-01,0.78,421
2010-04-01,0.88,465
2010-03-01,0.9,476
2010-02-01,0.84,449
2010-01-01,0.76,413
2009-12-01,0.72,393
2009-11-01,0.76,413
2009-10-01,0.69,372
2009-09-01,0.76,413
2009-08-01,0.71,389
2009-07-01,0.74,400
2009-06-01,0.68,363
2009-05-01,0.63,329
2009-04-01,0.58,297
2009-03-01,0.53,259
2009-02-01,0.54,266
2009-01-01,0.67,356
2008-12-01,0.59,303
2008-11-01,0.7,379
2008-10-01,0.68,363
2008-09-01,0.62,324
2008-08-01,0.53,259
2008-07-01,0.59,303
2008-06-01,0.49,234
2008-05-01,0.51,245
2008-04-01,0.52,252
2008-03-01,0.71,389
2008-02-01,0.33,127
2008-01-01,0.28,85
2007-12-01,0.49,234
2007-11-01,0.57,290
2007-10-01,0.61,316
2007-09-01,0.6,312
2007-08-01,0.57,290
2007-07-01,0.6,312
2007-06-01,0.6,312
2007-05-01,0.64,335
2007-04-01,0.78,421
2007-03-01,0.68,363
2007-02-01,0.71,389
2007-01-01,0.92,489
2006-12-01,0.78,421
2006-11-01,0.69,372
2006-10-01,0.69,372
2006-09-01,0.67,356
2006-08-01,0.71,389
2006-07-01,0.57,290
2006-06-01,0.64,335
2006-05-01,0.55,273
2006-04-01,0.55,273
2006-03-01,0.65,343
2006-02-01,0.76,413
2006-01-01,0.6,312
2005-12-01,0.73,395
2005-11-01,0.77,416
2005-10-01,0.74,400
2005-09-01,0.71,389
2005-08-01,0.6,312
2005-07-01,0.65,343
2005-06-01,0.67,356
2005-05-01,0.67,356
2005-04-01,0.69,372
2005-03-01,0.74,400
2005-02-01,0.63,329
2005-01-01,0.77,416
2004-12-01,0.54,266
2004-11-01,0.7,379
2004-10-01,0.63,329
2004-09-01,0.55,273
2004-08-01,0.5,238
2004-07-01,0.37,152
2004-06-01,0.44,207
2004-05-01,0.4,177
2004-04-01,0.62,324
2004-03-01,0.67,356
2004-02-01,0.7,379
2004-01-01,0.62,324
2003-12-01,0.74,400
2003-11-01,0.56,284
2003-10-01,0.75,407
2003-09-01,0.69,372
2003-08-01,0.65,343
2003-07-01,0.58,297
2003-06-01,0.5,238
2003-05-01,0.6,312
2003-04-01,0.58,297
2003-03-01,0.59,303
2003-02-01,0.62,324
2003-01-01,0.71,389
2002-12-01,0.51,245
2002-11-01,0.58,297
2002-10-01,0.57,290
2002-09-01,0.61,316
2002-08-01,0.57,290
2002-07-01,0.64,335
2002-06-01,0.59,303
2002-05-01,0.66,348
2002-04-01,0.56,284
2002-03-01,0.83,442
2002-02-01,0.69,372
2002-01-01,0.68,363
2001-12-01,0.62,324
2001-11-01,0.69,372
2001-10-01,0.5,238
2001-09-01,0.55,273
2001-08-01,0.54,266
2001-07-01,0.63,329
2001-06-01,0.53,259
2001-05-01,0.57,290
2001-04-01,0.53,259
2001-03-01,0.55,273
2001-02-01,0.44,207
2001-01-01,0.46,219
2000-12-01,0.3,97
2000-11-01,0.3,97
2000-10-01,0.31,106
2000-09-01,0.45,213
2000-08-01,0.44,207
2000-07-01,0.41,184
2000-06-01,0.39,167
2000-05-01,0.37,152
2000-04-01,0.59,303
2000-03-01,0.53,259
2000-02-01,0.54,266
2000-01-01,0.32,117
1999-12-01,0.47,227
1999-11-01,0.37,152
1999-10-01,0.34,135
1999-09-01,0.43,199
1999-08-01,0.38,162
1999-07-01,0.38,162
1999-06-01,0.41,184
1999-05-01,0.32,117
1999-04-01,0.37,152
1999-03-01,0.37,152
1999-02-01,0.65,343
1999-01-01,0.47,227
1998-12-01,0.58,297
1998-11-01,0.45,213
1998-10-01,0.44,207
1998-09-01,0.5,238
1998-08-01,0.72,393
1998-07-01,0.71,389
1998-06-01,0.74,400
1998-05-01,0.7,379
1998-04-01,0.73,395
1998-03-01,0.64,335
1998-02-01,0.81,431
1998-01-01,0.6,312
1997-12-01,0.58,297
1997-11-01,0.63,329
1997-10-01,0.64,335
1997-09-01,0.61,316
1997-08-01,0.47,227
1997-07-01,0.43,199
1997-06-01,0.56,284
1997-05-01,0.4,177
1997-04-01,0.39,167
1997-03-01,0.52,252
1997-02-01,0.37,152
1997-01-01,0.27,79
1996-12-01,0.36,146
1996-11-01,0.4,177
1996-10-01,0.21,57
1996-09-01,0.29,94
1996-08-01,0.45,213
1996-07-01,0.38,162
1996-06-01,0.3,97
1996-05-01,0.33,127
1996-04-01,0.34,135
1996-03-01,0.38,162
1996-02-01,0.49,234
1996-01-01,0.28,85
1995-12-01,0.31,106
1995-11-01,0.46,219
1995-10-01,0.44,207
1995-09-01,0.42,190
1995-08-01,0.53,259
1995-07-01,0.5,238
1995-06-01,0.47,227
1995-05-01,0.33,127
1995-04-01,0.5,238
1995-03-01,0.51,245
1995-02-01,0.76,413
1995-01-01,0.54,266
1994-12-01,0.39,167
1994-11-01,0.43,199
1994-10-01,0.44,207
1994-09-01,0.35,140
1994-08-01,0.25,72
1994-07-01,0.32,117
1994-06-01,0.43,199
1994-05-01,0.33,127
1994-04-01,0.4,177
1994-03-01,0.31,106
1994-02-01,0.06,7
1994-01-01,0.23,66
1993-12-01,0.21,57
1993-11-01,0.08,10
1993-10-01,0.26,74
1993-09-01,0.19,44
1993-08-01,0.18,40
1993-07-01,0.27,79
1993-06-01,0.31,106
1993-05-01,0.3,97
1993-04-01,0.32,117
1993-03-01,0.37,152
1993-02-01,0.4,177
1993-01-01,0.34,135
1992-12-01,0.2,49
1992-11-01,0.05,6
1992-10-01,0.06,7
1992-09-01,0.04,3
1992-08-01,0.11,15
1992-07-01,0.14,24
1992-06-01,0.3,97
1992-05-01,0.34,135
1992-04-01,0.3,97
1992-03-01,0.48,231
1992-02-01,0.43,199
1992-01-01,0.43,199
1991-12-01,0.3,97
1991-11-01,0.31,106
1991-10-01,0.33,127
1991-09-01,0.42,190
1991-08-01,0.42,190
1991-07-01,0.48,231
1991-06-01,0.54,266
1991-05-01,0.42,190
1991-04-01,0.52,252
1991-03-01,0.37,152
1991-02-01,0.5,238
1991-01-01,0.41,184
1990-12-01,0.43,199
1990-11-01,0.41,184
1990-10-01,0.42,190
1990-09-01,0.32,117
1990-08-01,0.36,146
1990-07-01,0.42,190
1990-06-01,0.39,167
1990-05-01,0.52,252
1990-04-01,0.61,316
1990-03-01,0.75,407
1990-02-01,0.4,177
1990-01-01,0.39,167
1989-12-01,0.41,184
1989-11-01,0.17,31
1989-10-01,0.32,117
1989-09-01,0.39,167
1989-08-01,0.33,127
1989-07-01,0.3,97
1989-06-01,0.22,62
1989-05-01,0.2,49
1989-04-01,0.31,106
1989-03-01,0.32,117
1989-02-01,0.32,117
1989-01-01,0.11,15
1988-12-01,0.29,94
1988-11-01,0.15,27
1988-10-01,0.36,146
